"Comment","Designator","Footprint","LCSC Part Number",
"JST PG 4 pin","J1, J2","JST PG 1x04","C265332",
"FFC 4 pin 1mm","J3","FFC 4 pin 1mm","C2797237",
"4.7k ohm resistor","R5,R6,R100",805,"C269746",
"Diode","D1,D2,D3,D4,D5,D7,D8,D9,D10,D11,D13,D14,D15,D16,D17,D19,D20,D21,D22,D23,D25,D26,D27,D28,D29,D31,D32,D33,D34,D35,D37,D38,D39,D40,D41,D43,D44,D45,D46,D47,D49,D50,D51,D52,D53,D55,D56,D57,D58,D59,D61,D62,D63,D64,D65,D67,D68,D69,D70,D71,D72,D73","SOD-123","C11177",
"Ferrite Bead","FB1",805,"C840594 ",
"PTC Fuse 750ma 16V 100A ","F1",1206,"C409806"," "
"USBLC6-2SC6 ESD device","U3","SOT-23-6","C7519",
"1 uf capacitator","C100,C111,C105,C112,C106,C102,C104,C114,C113,C115,C110,C103,C116,C101",805,"C89190 ",
